hour,sendtimes
1,0
2,14
3,11
4,12
5,12
6,9
7,15
8,15
9,9
10,14
11,20
12,24
13,16
14,21
15,17
16,13
17,16
18,19
19,17
20,15
21,22
22,14
23,12
24,13
25,14
26,16
27,13
28,8
29,12
30,14
31,18
32,16
33,12
34,15
35,21
36,20
37,19
38,23
39,18
40,15
41,16
42,17
43,15
44,14
45,24
46,17
47,11
48,16
49,17
50,15
51,13
52,10
53,13
54,10
55,16
56,21
57,12
58,16
59,21
60,20
61,17
62,24
63,19
64,13
65,19
66,18
67,15
68,17
69,23
70,16
71,11
72,11
73,18
74,17
75,11
76,11
77,12
78,12
79,18
80,19
81,16
82,15
83,21
84,22
85,18
86,22
87,19
88,16
89,17
90,18
91,14
92,14
93,25
94,16
95,11
96,13
97,18
98,14
99,31
100,36
101,31
102,30
103,40
104,40
105,30
106,17
107,24
108,21
109,19
110,23
111,18
112,13
113,17
114,16
115,14
116,19
117,23
118,17
119,12
120,14
121,18
122,13
123,13
124,11
125,11
126,8
127,19
128,20
129,12
130,17
131,23
132,23
133,16
134,23
135,17
136,13
137,16
138,19
139,15
140,16
141,25
142,16
143,13
144,13
145,17
146,18
147,10
148,9
149,11
150,10
151,16
152,18
153,12
154,15
155,21
156,23
157,20
158,20
159,18
160,14
161,16
162,14
163,17
164,16
165,24
166,16
167,9
168,12
169,16
170,14
171,14
172,9
173,13
174,13
175,14
176,17
177,10
178,16
179,20
180,23
181,20
182,22
183,15
184,15
185,17
186,17
187,16
188,13
189,24
190,19
191,14
192,13
193,14
194,15
195,11
196,14
197,11
198,10
199,38
200,38
201,31
202,37
203,23
204,22
205,17
206,22
207,21
208,14
209,18
210,18
211,17
212,19
213,25
214,16
215,11
216,13
217,16
218,15
219,11
220,13
221,10
222,8
223,16
224,18
225,11
226,18
227,22
228,24
229,16
230,23
231,18
232,12
233,17
234,16
235,15
236,17
237,27
238,19
239,16
240,13
241,18
242,13
243,11
244,9
245,10
246,11
247,18
248,18
249,10
250,16
251,20
252,26
253,18
254,21
255,22
256,13
257,18
258,16
259,18
260,18
261,27
262,15
263,13
264,13
265,18
266,16
267,16
268,9
269,11
270,10
271,15
272,18
273,9
274,19
275,23
276,21
277,16
278,25
279,19
280,14
281,17
282,17
283,16
284,17
285,22
286,17
287,10
288,11
289,17
290,14
291,11
292,10
293,13
294,10
295,17
296,21
297,12
298,19
299,22
300,45
301,18
302,24
303,22
304,12
305,16
306,17
307,19
308,15
309,22
310,16
311,15
312,14
313,18
314,14
315,13
316,13
317,11
318,11
319,17
320,18
321,10
322,16
323,20
324,25
325,16
326,21
327,21
328,15
329,18
330,16
331,15
332,14
333,24
334,17
335,12
336,12
337,16
338,15
339,10
340,10
341,11
342,12
343,16
344,17
345,11
346,16
347,24
348,25
349,16
350,42
351,20
352,15
353,18
354,19
355,15
356,15
357,27
358,17
359,11
360,14
361,19
362,12
363,13
364,10
365,10
366,12
367,16
368,16
369,10
370,36
371,22
372,25
373,18
374,21
375,16
376,15
377,18
378,16
379,13
380,36
381,23
382,15
383,10
384,10
385,15
386,15
387,15
388,10
389,11
390,10
391,16
392,19
393,9
394,15
395,20
396,27
397,17
398,21
399,19
400,37
401,18
402,14
403,17
404,15
405,24
406,18
407,12
408,13
409,16
410,57
411,33
412,32
413,28
414,8
415,17
416,17
417,11
418,19
419,20
420,22
421,18
422,21
423,19
424,16
425,18
426,15
427,16
428,16
429,20
430,20
431,11
432,12
433,15
434,14
435,15
436,12
437,8
438,12
439,16
440,18
441,11
442,16
443,25
444,22
445,16
446,21
447,19
448,12
449,19
450,16
451,17
452,18
453,25
454,17
455,9
456,15
457,14
458,16
459,15
460,9
461,11
462,9
463,16
464,18
465,10
466,14
467,22
468,22
469,16
470,20
471,17
472,13
473,18
474,16
475,16
476,16
477,28
478,21
479,10
480,10
481,17
482,17
483,11
484,11
485,10
486,14
487,16
488,18
489,13
490,17
491,24
492,20
493,17
494,22
495,21
496,12
497,19
498,13
499,18
500,14
