hour,sendtimes
1,15
2,15
3,12
4,14
5,13
6,11
7,16
8,16
9,9
10,16
11,22
12,24
13,19
14,24
15,18
16,15
17,16
18,19
19,17
20,16
21,24
22,14
23,14
24,16
25,18
26,17
27,13
28,9
29,13
30,16
31,19
32,17
33,12
34,18
35,23
36,21
37,21
38,24
39,18
40,17
41,17
42,17
43,15
44,16
45,26
46,18
47,13
48,20
49,21
50,16
51,13
52,11
53,14
54,13
55,16
56,22
57,13
58,19
59,23
60,21
61,20
62,26
63,19
64,16
65,19
66,18
67,17
68,18
69,25
70,16
71,13
72,14
73,21
74,18
75,11
76,14
77,13
78,16
79,18
80,20
81,16
82,17
83,24
84,22
85,20
86,23
87,20
88,18
89,17
90,19
91,14
92,16
93,27
94,16
95,13
96,17
97,21
98,16
99,11
100,17
101,12
102,13
103,21
104,21
105,10
106,20
107,26
108,21
109,21
110,24
111,18
112,15
113,18
114,16
115,14
116,21
117,25
118,17
119,15
120,17
121,21
122,14
123,13
124,12
125,12
126,12
127,19
128,22
129,12
130,19
131,26
132,23
133,18
134,25
135,18
136,15
137,16
138,19
139,15
140,18
141,27
142,16
143,15
144,15
145,22
146,19
147,10
148,10
149,12
150,13
151,17
152,20
153,13
154,18
155,23
156,23
157,22
158,21
159,19
160,16
161,16
162,14
163,18
164,19
165,26
166,16
167,12
168,15
169,20
170,15
171,15
172,10
173,15
174,15
175,14
176,18
177,10
178,18
179,22
180,24
181,22
182,24
183,15
184,18
185,17
186,17
187,17
188,14
189,26
190,19
191,17
192,16
193,18
194,16
195,11
196,15
197,13
198,14
199,18
200,19
201,11
202,19
203,25
204,22
205,19
206,23
207,22
208,16
209,18
210,18
211,18
212,21
213,27
214,16
215,14
216,16
217,19
218,16
219,12
220,14
221,11
222,10
223,16
224,19
225,12
226,21
227,24
228,24
229,18
230,25
231,20
232,14
233,17
234,17
235,15
236,19
237,29
238,19
239,18
240,16
241,22
242,14
243,12
244,10
245,11
246,14
247,18
248,19
249,11
250,18
251,22
252,26
253,20
254,23
255,23
256,15
257,20
258,16
259,19
260,21
261,30
262,15
263,15
264,17
265,22
266,17
267,16
268,10
269,13
270,14
271,15
272,19
273,11
274,22
275,25
276,21
277,18
278,27
279,21
280,16
281,18
282,17
283,17
284,19
285,24
286,17
287,13
288,15
289,21
290,15
291,13
292,11
293,15
294,13
295,17
296,23
297,12
298,21
299,24
300,25
301,20
302,26
303,23
304,14
305,16
306,17
307,20
308,16
309,24
310,16
311,18
312,17
313,22
314,16
315,13
316,14
317,12
318,14
319,19
320,19
321,11
322,18
323,22
324,25
325,19
326,23
327,22
328,17
329,18
330,16
331,17
332,16
333,26
334,17
335,15
336,16
337,20
338,16
339,11
340,11
341,13
342,14
343,17
344,18
345,11
346,18
347,26
348,26
349,18
350,24
351,21
352,17
353,18
354,19
355,17
356,17
357,29
358,17
359,14
360,17
361,23
362,13
363,13
364,11
365,12
366,14
367,16
368,18
369,10
370,18
371,24
372,25
373,20
374,22
375,16
376,17
377,18
378,16
379,13
380,17
381,25
382,15
383,13
384,13
385,18
386,16
387,15
388,11
389,12
390,13
391,17
392,20
393,9
394,17
395,23
396,28
397,20
398,23
399,20
400,19
401,18
402,14
403,17
404,17
405,26
406,19
407,15
408,16
409,19
410,18
411,13
412,13
413,9
414,10
415,18
416,18
417,12
418,21
419,22
420,22
421,20
422,23
423,20
424,18
425,18
426,17
427,17
428,17
429,22
430,21
431,13
432,17
433,19
434,15
435,16
436,13
437,9
438,14
439,18
440,19
441,11
442,18
443,27
444,22
445,18
446,22
447,19
448,14
449,19
450,17
451,18
452,19
453,27
454,17
455,12
456,18
457,17
458,17
459,15
460,10
461,13
462,12
463,18
464,19
465,10
466,16
467,24
468,22
469,18
470,22
471,18
472,15
473,18
474,16
475,19
476,18
477,30
478,21
479,13
480,13
481,20
482,18
483,11
484,12
485,11
486,16
487,17
488,19
489,13
490,19
491,26
492,20
493,19
494,24
495,21
496,14
497,19
498,13
499,19
500,15
501,22
502,18
503,16
504,18
505,22
506,18
507,9
508,10
509,12
510,13
511,17
512,20
513,9
514,19
515,24
516,23
517,21
518,21
519,17
520,17
521,18
522,16
523,18
524,19
525,24
526,15
527,13
528,20
529,17
530,16
531,12
532,11
533,15
534,14
535,19
536,17
537,12
538,20
539,27
540,23
541,18
542,22
543,22
544,15
545,16
546,16
547,18
548,17
549,25
550,14
551,13
552,15
553,20
554,18
555,15
556,13
